,date,t_mean,t_max,t_min,station,year
730,2012-01-01,11.6,13.3,10.1,aghiosnikolaos,2012
731,2012-01-02,11.3,12.8,8.7,aghiosnikolaos,2012
732,2012-01-03,10.8,13.9,8.3,aghiosnikolaos,2012
733,2012-01-04,10.8,13.8,7.4,aghiosnikolaos,2012
734,2012-01-05,11.7,14.7,9.2,aghiosnikolaos,2012
735,2012-01-06,14.4,16.9,10.2,aghiosnikolaos,2012
736,2012-01-07,11.8,13.6,10.3,aghiosnikolaos,2012
737,2012-01-08,12.0,14.3,9.8,aghiosnikolaos,2012
738,2012-01-09,12.3,15.6,9.1,aghiosnikolaos,2012
739,2012-01-10,9.6,11.8,6.6,aghiosnikolaos,2012
740,2012-01-11,8.3,10.3,6.2,aghiosnikolaos,2012
741,2012-01-12,9.7,11.8,7.7,aghiosnikolaos,2012
742,2012-01-13,11.1,14.3,8.1,aghiosnikolaos,2012
743,2012-01-14,15.4,18.4,12.3,aghiosnikolaos,2012
744,2012-01-15,13.1,15.8,9.1,aghiosnikolaos,2012
745,2012-01-16,8.1,9.8,6.2,aghiosnikolaos,2012
746,2012-01-17,8.1,9.8,6.3,aghiosnikolaos,2012
747,2012-01-18,8.6,10.2,6.2,aghiosnikolaos,2012
748,2012-01-19,9.3,10.6,6.5,aghiosnikolaos,2012
749,2012-01-20,11.4,15.0,6.1,aghiosnikolaos,2012
750,2012-01-21,14.0,17.4,9.6,aghiosnikolaos,2012
751,2012-01-22,11.4,13.5,7.6,aghiosnikolaos,2012
752,2012-01-23,13.5,17.4,9.5,aghiosnikolaos,2012
753,2012-01-24,14.6,16.6,12.0,aghiosnikolaos,2012
754,2012-01-25,14.4,17.9,11.8,aghiosnikolaos,2012
755,2012-01-26,11.4,13.1,8.4,aghiosnikolaos,2012
756,2012-01-27,10.0,11.8,8.2,aghiosnikolaos,2012
757,2012-01-28,10.0,11.2,9.2,aghiosnikolaos,2012
758,2012-01-29,10.0,11.6,8.6,aghiosnikolaos,2012
759,2012-01-30,9.3,10.1,8.2,aghiosnikolaos,2012
760,2012-01-31,6.9,8.2,5.5,aghiosnikolaos,2012
761,2012-02-01,7.0,8.3,4.9,aghiosnikolaos,2012
762,2012-02-02,11.0,14.1,4.8,aghiosnikolaos,2012
763,2012-02-03,14.5,16.3,12.3,aghiosnikolaos,2012
764,2012-02-04,15.0,16.1,13.3,aghiosnikolaos,2012
